STATE,TYPE OF PRODUCER,GENERATION (Megawatthours)
TX,Total Electric Power Industry,967123547
US-TOTAL,"Combined Heat and Power, Commercial Power",24298722
US-TOTAL,"Combined Heat and Power, Electric Power",244893216
US-TOTAL,"Combined Heat and Power, Industrial Power",258814335
US-TOTAL,"Electric Generators, Electric Utilities",4068076309
US-TOTAL,"Electric Generators, Independent Power Producers",2982550948
US-TOTAL,Total Electric Power Industry,7578633534
UT,"Combined Heat and Power, Commercial Power",252901
UT,"Combined Heat and Power, Electric Power",107632
UT,"Combined Heat and Power, Industrial Power",833898
UT,"Electric Generators, Electric Utilities",74225102
UT,"Electric Generators, Independent Power Producers",9894024
UT,Total Electric Power Industry,85313555
VA,"Combined Heat and Power, Commercial Power",663874
VA,"Combined Heat and Power, Electric Power",2024212
VA,"Combined Heat and Power, Industrial Power",4667795
VA,"Electric Generators, Electric Utilities",146207379
VA,"Electric Generators, Independent Power Producers",35054776
VA,Total Electric Power Industry,188618032
VT,"Combined Heat and Power, Commercial Power",6282
VT,"Electric Generators, Electric Utilities",1830007
VT,"Electric Generators, Independent Power Producers",2459181
VT,Total Electric Power Industry,4295471
WA,"Combined Heat and Power, Commercial Power",56152
WA,"Combined Heat and Power, Industrial Power",4203161
WA,"Electric Generators, Electric Utilities",188221454
WA,"Electric Generators, Independent Power Producers",25764677
WA,Total Electric Power Industry,218245442
WI,"Combined Heat and Power, Commercial Power",279120
WI,"Combined Heat and Power, Electric Power",1886580
WI,"Combined Heat and Power, Industrial Power",2903051
WI,"Electric Generators, Electric Utilities",102321429
WI,"Electric Generators, Independent Power Producers",23567176
WI,Total Electric Power Industry,130957349
WV,"Combined Heat and Power, Industrial Power",2573329
WV,"Electric Generators, Electric Utilities",94187598
WV,"Electric Generators, Independent Power Producers",34500197
WV,Total Electric Power Industry,131261115
WY,"Combined Heat and Power, Industrial Power",4469440
WY,"Electric Generators, Electric Utilities",74730942
WY,"Electric Generators, Independent Power Producers",8100964
WY,Total Electric Power Industry,87301343
